panstwo,rok,liczba_bev_we_flocie,liczba_phev_we_flocie,procent_bev_we_flocie,procent_phev_we_flocie,liczba_bev_w_nowych_rejestracjach,liczba_phev_w_nowych_rejestracjach,procent_bev_w_nowych_rejestracjach,procent_phev_w_nowych_rejestracjach,liczba_ev_we_flocie,procent_ev_we_flocie,liczba_ev_w_nowych_rejestracjach,procent_ev_w_nowych_rejestracjach,szacowana_calkowita_flota_samochodow_osobowych,szacowana_liczba_wszystkich_nowych_rejestracji
Dania,2021,66610.0,77943.0,2.39,2.8,24832.0,40455.0,13.4,21.82,144553.0,5.1899999999999995,65287.0,35.22,2785221.5799614647,185369.10846110163
Dania,2022,112674.0,105030.0,4.03,3.76,30718.0,26425.0,20.71,17.81,217704.0,7.79,57143.0,38.519999999999996,2794659.8202824136,148346.31360332295
Dania,2023,200110.0,123066.0,7.0,4.3,62618.0,16665.0,36.24,9.64,323176.0,11.3,79283.0,45.88,2859964.6017699116,172805.14385353093
Dania,2024,344439.0,127567.0,12.02,4.45,89568.0,7092.0,51.72,4.09,472006.0,16.47,96660.0,55.81,2865853.066180935,173194.7679627307
Dania,2025,540981.0,127850.0,18.56,4.39,126532.0,4690.0,68.53,2.54,668831.0,22.95,131222.0,71.07000000000001,2914296.2962962966,184637.68115942026
Estonia,2008,,,,,0.0,0.0,,,,,0.0,,,
Estonia,2009,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
Estonia,2010,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
Estonia,2011,56.0,,0.01,,56.0,0.0,0.33,0.0,,,56.0,0.33,,16969.696969696968
Estonia,2012,600.0,5.0,0.1,0.0,506.0,5.0,2.61,0.03,605.0,0.1,511.0,2.6399999999999997,605000.0,19356.060606060608
Estonia,2013,708.0,10.0,0.11,0.0,116.0,5.0,0.59,0.03,718.0,0.11,121.0,0.62,652727.2727272727,19516.129032258064
Estonia,2014,1067.0,36.0,0.16,0.01,316.0,18.0,1.5,0.09,1103.0,0.17,334.0,1.59,648823.5294117647,21006.2893081761
Estonia,2015,1099.0,48.0,0.16,0.01,37.0,14.0,0.18,0.07,1147.0,0.17,51.0,0.25,674705.8823529411,20400.0
Estonia,2016,1130.0,55.0,0.16,0.01,49.0,7.0,0.21,0.03,1185.0,0.17,56.0,0.24,697058.8235294117,23333.333333333336
Estonia,2017,1154.0,80.0,0.16,0.01,26.0,25.0,0.1,0.1,1234.0,0.17,51.0,0.2,725882.3529411764,25500.0
Estonia,2018,1258.0,119.0,0.17,0.02,100.0,39.0,0.38,0.15,1377.0,0.19,139.0,0.53,724736.8421052631,26226.415094339623
Estonia,2019,1466.0,147.0,0.18,0.02,80.0,23.0,0.29,0.08,1613.0,0.19999999999999998,103.0,0.37,806500.0,27837.837837837837
Estonia,2020,1769.0,256.0,0.22,0.03,360.0,68.0,1.92,0.36,2025.0,0.25,428.0,2.28,810000.0,18771.929824561405
Estonia,2021,2260.0,420.0,0.27,0.05,503.0,164.0,2.25,0.73,2680.0,0.32,667.0,2.98,837500.0,22382.55033557047
Estonia,2022,2989.0,644.0,0.35,0.08,712.0,424.0,3.3,1.97,3633.0,0.43,1136.0,5.27,844883.7209302326,21555.977229601518
Estonia,2023,4423.0,1173.0,0.5,0.13,1458.0,537.0,6.39,2.35,5596.0,0.63,1995.0,8.74,888253.9682539683,22826.086956521736
Estonia,2024,5743.0,2099.0,0.86,0.31,1320.0,1268.0,5.2,4.99,7842.0,1.17,2588.0,10.190000000000001,670256.4102564104,25397.44847890088
Estonia,2025,10084.0,8021.0,1.49,1.19,868.0,1403.0,6.65,10.75,18105.0,2.6799999999999997,2271.0,17.4,675559.7014925374,13051.724137931036
Finlandia,2008,7.0,,,,0.0,0.0,,,,,0.0,,,
Finlandia,2009,13.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
Finlandia,2010,23.0,,,,13.0,0.0,0.01,0.0,,,13.0,0.01,,130000.0
Finlandia,2011,56.0,,,,29.0,0.0,0.02,0.0,,,29.0,0.02,,145000.0
Finlandia,2012,109.0,128.0,0.0,0.0,51.0,128.0,0.05,0.12,237.0,0.0,179.0,0.16999999999999998,,105294.11764705883
Finlandia,2013,169.0,288.0,0.01,0.01,48.0,133.0,0.05,0.13,457.0,0.02,181.0,0.18,2285000.0,100555.55555555556
Finlandia,2014,386.0,566.0,0.01,0.02,183.0,242.0,0.17,0.23,952.0,0.03,425.0,0.4,3173333.3333333335,106250.0
Finlandia,2015,657.0,1017.0,0.02,0.03,236.0,410.0,0.22,0.38,1674.0,0.05,646.0,0.6,3348000.0,107666.66666666667
Finlandia,2016,889.0,2437.0,0.03,0.07,231.0,1195.0,0.19,1.0,3326.0,0.1,1426.0,1.19,3326000.0,119831.93277310925
Finlandia,2017,1538.0,5719.0,0.05,0.17,517.0,2522.0,0.44,2.13,7257.0,0.22000000000000003,3039.0,2.57,3298636.3636363633,118249.0272373541
Finlandia,2018,2500.0,13095.0,0.07,0.38,807.0,4886.0,0.67,4.05,15595.0,0.45,5693.0,4.72,3465555.555555555,120614.40677966102
Finlandia,2019,4830.0,24703.0,0.14,0.7,1897.0,5983.0,1.66,5.24,29533.0,0.84,7880.0,6.9,3515833.3333333335,114202.89855072463
Finlandia,2020,9959.0,45620.0,0.28,1.26,4244.0,13231.0,4.4,13.73,55579.0,1.54,17475.0,18.130000000000003,3609025.974025974,96387.20353006067
Finlandia,2021,23497.0,76990.0,0.65,2.11,10151.0,20163.0,10.31,20.48,100487.0,2.76,30314.0,30.79,3640833.3333333335,98454.04352062357
Finlandia,2022,44889.0,104038.0,1.2,2.78,14529.0,16174.0,17.79,19.8,148927.0,3.9799999999999995,30703.0,37.59,3741884.4221105534,81678.63793562117
Finlandia,2023,83762.0,135105.0,2.22,3.58,29671.0,18085.0,33.91,20.67,218867.0,5.800000000000001,47756.0,54.58,3773568.9655172406,87497.25174056432
Finlandia,2024,118297.0,166848.0,3.13,4.41,21868.0,14863.0,29.53,20.07,285145.0,7.54,36731.0,49.6,3781763.9257294433,74054.43548387097
Finlandia,2025,164705.0,187039.0,4.31,4.9,26721.0,14513.0,37.18,20.19,351744.0,9.21,41234.0,57.370000000000005,3819153.09446254,71873.801638487
Francja,2008,2602.0,,,,0.0,0.0,,,,,0.0,,,
Francja,2009,2599.0,,0.01,,10.0,0.0,0.0,0.0,,,10.0,0.0,,
Francja,2010,2604.0,,0.01,,134.0,0.0,0.01,0.0,,,134.0,0.01,,1340000.0
Francja,2011,5293.0,,0.02,,2630.0,0.0,0.12,0.0,,,2630.0,0.12,,2191666.666666667
Francja,2012,7071.0,666.0,0.02,0.0,5663.0,668.0,0.3,0.04,7737.0,0.02,6331.0,0.33999999999999997,38685000.0,1862058.8235294118
Francja,2013,16165.0,1466.0,0.04,0.0,8583.0,810.0,0.49,0.05,17631.0,0.04,9393.0,0.54,44077500.0,1739444.4444444443
Francja,2014,25950.0,2985.0,0.07,0.01,11139.0,1011.0,0.63,0.06,28935.0,0.08,12150.0,0.69,36168750.0,1760869.5652173914
Francja,2015,41901.0,8025.0,0.11,0.02,17741.0,5043.0,0.94,0.27,49926.0,0.13,22784.0,1.21,38404615.384615384,1882975.2066115702
Francja,2016,61338.0,14492.0,0.16,0.04,23011.0,6457.0,1.16,0.33,75830.0,0.2,29468.0,1.49,37915000.0,1977718.1208053692
Francja,2017,82481.0,25295.0,0.22,0.07,26509.0,10549.0,1.27,0.51,107776.0,0.29000000000000004,37058.0,1.78,37164137.93103448,2081910.1123595505
Francja,2018,106489.0,38734.0,0.28,0.1,32209.0,13389.0,1.51,0.63,145223.0,0.38,45598.0,2.14,38216578.94736842,2130747.663551402
Francja,2019,141357.0,57294.0,0.37,0.15,42933.0,18549.0,1.98,0.85,198651.0,0.52,61482.0,2.83,38202115.384615384,2172508.8339222614
Francja,2020,245106.0,132309.0,0.64,0.34,110909.0,74587.0,6.72,4.52,377415.0,0.98,185496.0,11.239999999999998,38511734.693877555,1650320.2846975091
Francja,2021,470452.0,273600.0,1.21,0.71,162105.0,141439.0,9.77,8.53,744052.0,1.92,303544.0,18.299999999999997,38752708.333333336,1658710.3825136614
Francja,2022,690093.0,411593.0,1.76,1.05,202868.0,126166.0,13.27,8.25,1101686.0,2.81,329034.0,21.52,39205907.47330961,1528968.4014869889
Francja,2023,916082.0,574602.0,2.32,1.45,296902.0,161999.0,16.73,9.13,1490684.0,3.7699999999999996,458901.0,25.86,39540689.655172415,1774559.1647331787
Francja,2024,1218319.0,721450.0,3.08,1.83,290748.0,146392.0,16.92,8.52,1939769.0,4.91,437140.0,25.44,39506496.94501018,1718317.610062893
Francja,2025,1543440.0,825313.0,3.88,2.08,327224.0,108619.0,20.05,6.65,2368753.0,5.96,435843.0,26.700000000000003,39744177.85234899,1632370.7865168538
Grecja,2008,,,,,0.0,0.0,,,,,0.0,,,
Grecja,2009,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
Grecja,2010,1.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
Grecja,2011,1.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
Grecja,2012,2.0,,0.0,,1.0,1.0,0.0,0.0,,,2.0,0.0,,
Grecja,2013,3.0,,0.0,,3.0,,0.01,,,,,,,
Grecja,2014,45.0,17.0,0.0,0.0,44.0,,0.06,,62.0,0.0,,,,
Grecja,2015,84.0,40.0,0.0,0.0,43.0,8.0,0.06,0.01,124.0,0.0,51.0,0.06999999999999999,,72857.14285714287
Grecja,2016,114.0,53.0,0.0,0.0,28.0,6.0,0.04,0.01,167.0,0.0,34.0,0.05,,68000.0
Grecja,2017,148.0,207.0,0.0,0.0,58.0,120.0,0.07,0.14,355.0,0.0,178.0,0.21000000000000002,,84761.90476190475
Grecja,2018,215.0,366.0,0.0,0.01,108.0,155.0,0.1,0.15,581.0,0.01,263.0,0.25,5810000.0,105200.0
Grecja,2019,426.0,570.0,0.01,0.01,190.0,289.0,0.17,0.25,996.0,0.02,479.0,0.42000000000000004,4980000.0,114047.61904761902
Grecja,2020,1104.0,2031.0,0.02,0.04,678.0,1461.0,0.84,1.81,3135.0,0.06,2139.0,2.65,5225000.0,80716.98113207547
Grecja,2021,3280.0,6823.0,0.06,0.12,2120.0,4811.0,2.1,4.76,10103.0,0.18,6931.0,6.859999999999999,5612777.777777778,101034.98542274053
Grecja,2022,6306.0,12269.0,0.11,0.22,2644.0,5322.0,2.51,5.05,18575.0,0.33,7966.0,7.56,5628787.878787879,105370.37037037036
Grecja,2023,12315.0,20643.0,0.21,0.36,6050.0,8754.0,4.5,6.51,32958.0,0.57,14804.0,11.01,5782105.263157896,134459.58219800182
Grecja,2024,17987.0,27290.0,0.3,0.45,8707.0,8344.0,5.92,5.67,45277.0,0.75,17051.0,11.59,6036933.333333334,147118.20534943917
Grecja,2025,30789.0,38323.0,0.5,0.62,8863.0,11670.0,6.15,8.09,69112.0,1.12,20533.0,14.24,6170714.2857142845,144192.4157303371
Hiszpania,2008,,,,,0.0,0.0,,,,,0.0,,,
Hiszpania,2009,,,,,1.0,0.0,0.0,0.0,,,1.0,0.0,,
Hiszpania,2010,,,,,73.0,0.0,0.01,0.0,,,73.0,0.01,,730000.0
Hiszpania,2011,568.0,,0.0,,568.0,8.0,0.07,0.0,,,576.0,0.07,,822857.1428571427
Hiszpania,2012,1023.0,109.0,0.0,0.0,443.0,109.0,0.06,0.02,1132.0,0.0,552.0,0.08,,690000.0
Hiszpania,2013,2021.0,190.0,0.01,0.0,936.0,73.0,0.13,0.01,2211.0,0.01,1009.0,0.14,22110000.0,720714.2857142856
Hiszpania,2014,2832.0,612.0,0.01,0.0,1085.0,306.0,0.12,0.03,3444.0,0.01,1391.0,0.15,34440000.0,927333.3333333334
Hiszpania,2015,5243.0,1368.0,0.02,0.01,1461.0,761.0,0.14,0.07,6611.0,0.03,2222.0,0.21000000000000002,22036666.666666668,1058095.2380952379
Hiszpania,2016,5756.0,3131.0,0.03,0.01,2211.0,1507.0,0.19,0.13,8887.0,0.04,3718.0,0.32,22217500.0,1161875.0
Hiszpania,2017,9681.0,6583.0,0.04,0.03,4084.0,3316.0,0.32,0.26,16264.0,0.07,7400.0,0.5800000000000001,23234285.714285713,1275862.0689655172
Hiszpania,2018,15865.0,12295.0,0.07,0.05,6135.0,5529.0,0.45,0.41,28160.0,0.12000000000000001,11664.0,0.86,23466666.666666664,1356279.0697674418
Hiszpania,2019,26197.0,19722.0,0.11,0.08,10427.0,7425.0,0.8,0.57,45919.0,0.19,17852.0,1.37,24167894.736842107,1303065.6934306568
Hiszpania,2020,43203.0,43481.0,0.17,0.18,18233.0,23759.0,2.14,2.79,86684.0,0.35,41992.0,4.93,24766857.142857146,851764.705882353
Hiszpania,2021,66085.0,81355.0,0.27,0.33,24230.0,43069.0,2.82,5.01,147440.0,0.6000000000000001,67299.0,7.83,24573333.33333333,859501.9157088123
Hiszpania,2022,95617.0,121285.0,0.38,0.48,31412.0,47925.0,3.86,5.89,216902.0,0.86,79337.0,9.75,25221162.790697675,813712.8205128205
Hiszpania,2023,150282.0,180253.0,0.59,0.71,54845.0,62171.0,5.78,6.55,330535.0,1.2999999999999998,117016.0,12.33,25425769.230769236,949034.8742903487
Hiszpania,2024,181784.0,235506.0,0.68,0.88,58856.0,58485.0,5.79,5.75,417290.0,1.56,117341.0,11.54,26749358.974358972,1016819.7573656847
Hiszpania,2025,281653.0,360453.0,1.05,1.35,105568.0,125827.0,9.19,10.96,642106.0,2.4000000000000004,231395.0,20.15,26754416.66666666,1148362.282878412
Holandia,2008,,,,,0.0,0.0,,,,,0.0,,,
Holandia,2009,,,,,28.0,2.0,0.01,0.0,,,30.0,0.01,,300000.0
Holandia,2010,,,,,86.0,0.0,0.02,0.0,,,86.0,0.02,,430000.0
Holandia,2011,,,,,849.0,15.0,0.15,0.0,,,864.0,0.15,,576000.0
Holandia,2012,2100.0,,0.03,,828.0,4326.0,0.16,0.86,,,5154.0,1.02,,505294.1176470588
Holandia,2013,4161.0,24512.0,0.05,0.31,3118.0,19673.0,0.75,4.72,28673.0,0.36,22791.0,5.47,7964722.222222222,416654.47897623404
Holandia,2014,6825.0,36937.0,0.09,0.46,3238.0,11828.0,0.84,3.05,43762.0,0.55,15066.0,3.8899999999999997,7956727.272727272,387300.7712082263
Holandia,2015,9962.0,78163.0,0.12,0.96,3797.0,39150.0,0.85,8.72,88125.0,1.08,42947.0,9.57,8159722.222222222,448766.98014629044
Holandia,2016,13709.0,96156.0,0.17,1.17,4025.0,18775.0,1.05,4.91,109865.0,1.3399999999999999,22800.0,5.96,8198880.597014926,382550.3355704698
Holandia,2017,21842.0,97047.0,0.26,1.16,7961.0,1165.0,1.92,0.28,118889.0,1.42,9126.0,2.2,8372464.788732395,414818.18181818177
Holandia,2018,44581.0,94668.0,0.53,1.12,24033.0,2820.0,5.42,0.64,139249.0,1.6500000000000001,26853.0,6.06,8439333.333333332,443118.8118811882
Holandia,2019,106232.0,91887.0,1.22,1.06,61696.0,4931.0,13.86,1.11,198119.0,2.2800000000000002,66627.0,14.969999999999999,8689429.824561404,445070.1402805611
Holandia,2020,173797.0,98403.0,1.98,1.12,73129.0,15933.0,20.43,4.45,272200.0,3.1,89062.0,24.88,8780645.161290323,357966.2379421222
Holandia,2021,245091.0,138145.0,2.78,1.56,64419.0,31049.0,19.89,9.59,383236.0,4.34,95468.0,29.48,8830322.58064516,323839.89145183173
Holandia,2022,330113.0,186945.0,3.71,2.1,73126.0,34411.0,23.32,10.97,517058.0,5.8100000000000005,107537.0,34.29,8899449.22547332,313610.3820355789
Holandia,2023,444669.0,262332.0,4.98,2.94,113587.0,46920.0,30.52,12.61,707001.0,7.92,160507.0,43.129999999999995,8926780.303030305,372146.9974495711
Holandia,2024,557742.0,372538.0,6.03,4.03,132166.0,52576.0,34.45,13.71,930280.0,10.06,184742.0,48.160000000000004,9247316.10337972,383600.4983388704
Holandia,2025,680605.0,518145.0,7.23,5.5,156139.0,73445.0,40.2,18.91,1198750.0,12.73,229584.0,59.11,9416732.128829537,388401.28573845373
Irlandia,2008,,,,,0.0,0.0,,,,,0.0,,,
Irlandia,2009,,,,,2.0,0.0,0.0,0.0,,,2.0,0.0,,
Irlandia,2010,18.0,,0.0,,18.0,0.0,0.02,0.0,,,18.0,0.02,,90000.0
Irlandia,2011,64.0,,0.0,,46.0,0.0,0.05,0.0,,,46.0,0.05,,92000.0
Irlandia,2012,193.0,,0.01,,139.0,0.0,0.17,0.0,,,139.0,0.17,,81764.70588235294
Irlandia,2013,280.0,1.0,0.01,0.0,167.0,7.0,0.22,0.01,281.0,0.01,174.0,0.23,2810000.0,75652.17391304347
Irlandia,2014,560.0,36.0,0.03,0.0,224.0,29.0,0.27,0.03,596.0,0.03,253.0,0.30000000000000004,1986666.6666666667,84333.33333333331
Irlandia,2015,1120.0,135.0,0.05,0.01,489.0,83.0,0.38,0.06,1255.0,0.060000000000000005,572.0,0.44,2091666.6666666665,129999.99999999999
Irlandia,2016,1700.0,416.0,0.08,0.02,420.0,253.0,0.28,0.17,2116.0,0.1,673.0,0.45000000000000007,2116000.0,149555.55555555553
Irlandia,2017,2770.0,739.0,0.13,0.03,627.0,303.0,0.47,0.23,3509.0,0.16,930.0,0.7,2193125.0,132857.14285714287
Irlandia,2018,4610.0,1631.0,0.21,0.07,1248.0,709.0,0.97,0.55,6241.0,0.28,1957.0,1.52,2228928.571428571,128750.0
Irlandia,2019,8590.0,2947.0,0.38,0.13,3455.0,1359.0,2.74,1.08,11537.0,0.51,4814.0,3.8200000000000003,2262156.862745098,126020.94240837694
Irlandia,2020,12720.0,5659.0,0.55,0.25,4010.0,2494.0,4.46,2.78,18379.0,0.8,6504.0,7.24,2297375.0,89834.2541436464
Irlandia,2021,21440.0,17570.0,0.93,0.76,8703.0,7907.0,8.32,7.56,39010.0,1.69,16610.0,15.879999999999999,2308284.0236686394,104596.97732997482
Irlandia,2022,36970.0,25318.0,1.57,1.07,15706.0,7783.0,14.91,7.39,62288.0,2.64,23489.0,22.3,2359393.9393939395,105331.83856502242
Irlandia,2023,59400.0,35785.0,2.5,1.5,22869.0,10348.0,18.77,8.49,95185.0,4.0,33217.0,27.259999999999998,2379625.0,121852.53118121793
Irlandia,2024,72640.0,41933.0,2.87,1.65,17459.0,12538.0,14.39,10.34,114573.0,4.52,29997.0,24.73,2534800.884955752,121298.01860088961
Irlandia,2025,95123.0,60653.0,3.76,2.4,23605.0,18917.0,18.89,15.14,155776.0,6.16,42522.0,34.03,2528831.1688311687,124954.4519541581
Islandia,2008,12.0,,,,0.0,0.0,,,,,0.0,,,
Islandia,2009,12.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
Islandia,2010,14.0,,,,2.0,0.0,0.06,0.0,,,2.0,0.06,,3333.3333333333335
Islandia,2011,14.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
Islandia,2012,31.0,9.0,0.01,0.0,17.0,12.0,0.21,0.15,40.0,0.01,29.0,0.36,400000.0,8055.555555555556
Islandia,2013,111.0,32.0,0.05,0.02,53.0,19.0,0.73,0.26,143.0,0.07,72.0,0.99,204285.71428571426,7272.727272727273
Islandia,2014,305.0,61.0,0.14,0.03,134.0,37.0,1.41,0.39,366.0,0.17,171.0,1.7999999999999998,215294.1176470588,9500.0
Islandia,2015,691.0,227.0,0.33,0.11,256.0,146.0,1.82,1.04,918.0,0.44,402.0,2.8600000000000003,208636.36363636362,14055.944055944054
Islandia,2016,1066.0,1007.0,0.5,0.48,226.0,618.0,1.23,3.35,2073.0,0.98,844.0,4.58,211530.61224489796,18427.947598253275
Islandia,2017,1910.0,3188.0,0.74,1.24,842.0,2116.0,3.25,8.17,5098.0,1.98,2958.0,11.42,257474.7474747475,25901.926444833625
Islandia,2018,2684.0,6051.0,1.0,2.26,768.0,2669.0,3.62,12.57,8735.0,3.26,3437.0,16.19,267944.7852760737,21229.153798641135
Islandia,2019,3749.0,8003.0,1.39,2.97,1139.0,1734.0,8.35,12.72,11752.0,4.36,2873.0,21.07,269541.2844036697,13635.500711912671
Islandia,2020,5499.0,9698.0,2.04,3.6,2530.0,2268.0,27.0,24.21,15197.0,5.640000000000001,4798.0,51.21,269450.354609929,9369.263815661003
Islandia,2021,10852.0,15655.0,3.75,5.42,4266.0,4881.0,33.45,38.27,26507.0,9.17,9147.0,71.72,289062.15921483096,12753.76464026771
Islandia,2022,17716.0,20692.0,6.25,7.29,6851.0,5037.0,41.2,30.29,38408.0,13.54,11888.0,71.49000000000001,283663.2200886263,16628.899146733806
Islandia,2023,25665.0,21750.0,8.44,7.15,10063.0,2179.0,57.36,12.42,47415.0,15.59,12242.0,69.78,304137.2674791533,17543.708799082833
Islandia,2024,30218.0,24384.0,9.69,7.82,2661.0,1684.0,25.99,16.45,54602.0,17.509999999999998,4345.0,42.44,311833.2381496288,10237.983034872761
Islandia,2025,36122.0,27632.0,11.49,8.79,5999.0,2951.0,41.22,20.28,63754.0,20.28,8950.0,61.5,314368.8362919132,14552.845528455286
Liechtenstein,2008,,,,,,,,,,,,,,
Liechtenstein,2009,,,,,,,,,,,,,,
Liechtenstein,2010,,,,,,,,,,,,,,
Liechtenstein,2011,,,,,,,,,,,,,,
Liechtenstein,2012,,,,,,,,,,,,,,
Liechtenstein,2013,,,,,14.0,,0.73,,,,,,,
Liechtenstein,2014,40.0,,0.14,,18.0,,1.0,,,,,,,
Liechtenstein,2015,62.0,,0.22,,30.0,,1.46,,,,,,,
Liechtenstein,2016,117.0,,0.4,,46.0,1.0,2.32,0.05,,,47.0,2.3699999999999997,,1983.1223628691987
Liechtenstein,2017,164.0,,0.55,,57.0,,2.82,,,,,,,
Liechtenstein,2018,237.0,1.0,0.79,0.0,48.0,1.0,2.6,0.05,238.0,0.79,49.0,2.65,30126.582278481008,1849.056603773585
Liechtenstein,2019,308.0,1.0,1.02,0.0,97.0,6.0,4.97,0.31,309.0,1.02,103.0,5.279999999999999,30294.11764705882,1950.757575757576
Liechtenstein,2020,403.0,9.0,1.32,0.03,164.0,3.0,9.72,0.18,412.0,1.35,167.0,9.9,30518.518518518515,1686.8686868686868
Liechtenstein,2021,630.0,44.0,2.06,0.14,292.0,35.0,17.26,2.07,674.0,2.2,327.0,19.330000000000002,30636.363636363632,1691.670977754785
Liechtenstein,2022,950.0,64.0,3.08,0.21,317.0,111.0,18.74,6.56,1014.0,3.29,428.0,25.299999999999997,30820.66869300912,1691.6996047430835
Liechtenstein,2023,1307.0,79.0,4.22,0.26,338.0,65.0,19.98,3.84,1386.0,4.4799999999999995,403.0,23.82,30937.500000000004,1691.855583543241
Liechtenstein,2024,1533.0,143.0,4.93,0.46,362.0,87.0,23.15,5.56,1676.0,5.39,449.0,28.709999999999997,31094.61966604824,1563.9150121908744
Liechtenstein,2025,2011.0,210.0,6.48,0.68,364.0,57.0,26.32,4.12,2221.0,7.16,421.0,30.44,31019.5530726257,1383.048620236531
Litwa,2008,,,,,0.0,0.0,,,,,0.0,,,
Litwa,2009,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
Litwa,2010,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
Litwa,2011,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
Litwa,2012,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
Litwa,2013,2.0,4.0,0.0,0.0,,,,,6.0,0.0,,,,
Litwa,2014,70.0,14.0,0.01,0.0,,,,,84.0,0.01,,,840000.0,
Litwa,2015,169.0,28.0,0.01,0.0,15.0,,0.01,,197.0,0.01,,,1970000.0,
Litwa,2016,358.0,44.0,0.03,0.0,60.0,11.0,0.04,0.01,402.0,0.03,71.0,0.05,1340000.0000000002,142000.0
Litwa,2017,619.0,241.0,0.05,0.02,49.0,19.0,0.03,0.01,860.0,0.07,68.0,0.04,1228571.4285714284,170000.0
Litwa,2018,965.0,671.0,0.07,0.05,152.0,42.0,0.09,0.02,1636.0,0.12000000000000001,194.0,0.11,1363333.3333333333,176363.63636363635
Litwa,2019,1395.0,1172.0,0.09,0.08,169.0,52.0,0.1,0.03,2567.0,0.16999999999999998,221.0,0.13,1510000.0,170000.0
Litwa,2020,2475.0,1951.0,0.16,0.12,453.0,62.0,1.13,0.15,4426.0,0.28,515.0,1.2799999999999998,1580714.2857142854,40234.375
Litwa,2021,4831.0,3206.0,0.3,0.2,1134.0,70.0,3.61,0.22,8037.0,0.5,1204.0,3.83,1607400.0,31436.031331592687
Litwa,2022,7305.0,4942.0,0.44,0.3,1318.0,740.0,5.16,2.9,12247.0,0.74,2058.0,8.06,1655000.0,25533.49875930521
Litwa,2023,11424.0,7530.0,0.66,0.44,2034.0,787.0,7.4,2.86,18954.0,1.1,2821.0,10.26,1723090.909090909,27495.126705653023
Litwa,2024,15983.0,12291.0,0.92,0.71,2003.0,1685.0,6.65,5.6,28274.0,1.63,3688.0,12.25,1734601.226993865,30106.122448979593
Litwa,2025,19876.0,17272.0,1.13,0.98,3138.0,4395.0,7.48,10.47,37148.0,2.11,7533.0,17.950000000000003,1760568.7203791472,41966.573816155986
Luksemburg,2008,,,,,0.0,0.0,,,,,0.0,,,
Luksemburg,2009,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
Luksemburg,2010,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
Luksemburg,2011,31.0,,0.01,,31.0,0.0,0.06,0.0,,,31.0,0.06,,51666.66666666667
Luksemburg,2012,100.0,30.0,0.03,0.01,61.0,30.0,0.12,0.06,130.0,0.04,91.0,0.18,325000.0,50555.555555555555
Luksemburg,2013,263.0,60.0,0.07,0.02,,,,,323.0,0.09000000000000001,,,358888.8888888889,
Luksemburg,2014,524.0,166.0,0.14,0.04,25.0,,0.05,,690.0,0.18000000000000002,,,383333.3333333333,
Luksemburg,2015,580.0,279.0,0.15,0.07,45.0,35.0,0.1,0.08,859.0,0.22,80.0,0.18,390454.5454545454,44444.444444444445
Luksemburg,2016,685.0,449.0,0.18,0.11,162.0,142.0,0.32,0.28,1134.0,0.29,304.0,0.6000000000000001,391034.4827586207,50666.66666666666
Luksemburg,2017,970.0,1023.0,0.24,0.25,371.0,616.0,0.7,1.17,1993.0,0.49,987.0,1.8699999999999999,406734.693877551,52780.74866310161
Luksemburg,2018,1336.0,1682.0,0.32,0.41,492.0,535.0,0.93,1.01,3018.0,0.73,1027.0,1.94,413424.65753424657,52938.1443298969
Luksemburg,2019,2195.0,2369.0,0.51,0.56,1012.0,919.0,1.87,1.7,4564.0,1.07,1931.0,3.5700000000000003,426542.0560747663,54089.63585434173
Luksemburg,2020,4444.0,4526.0,1.03,1.05,2525.0,2833.0,5.59,6.27,8970.0,2.08,5358.0,11.86,431250.0,45177.06576728499
Luksemburg,2021,8528.0,7833.0,1.94,1.78,4686.0,4728.0,10.56,10.66,16361.0,3.7199999999999998,9414.0,21.22,439811.8279569893,44363.807728557964
Luksemburg,2022,13909.0,10671.0,3.1,2.38,6658.0,3951.0,15.82,9.39,24580.0,5.48,10609.0,25.21,448540.14598540147,42082.506941689804
Luksemburg,2023,23267.0,14141.0,5.1,3.1,11380.0,5053.0,23.15,10.28,37408.0,8.2,16433.0,33.43,456195.12195121957,49156.446305713434
Luksemburg,2024,32061.0,17147.0,6.95,3.72,12778.0,3962.0,27.37,8.49,49208.0,10.67,16740.0,35.86,461180.8809746954,46681.539319576135
Luksemburg,2025,39182.0,18318.0,8.49,3.97,12691.0,3750.0,26.91,7.95,57500.0,12.46,16441.0,34.86,461476.7255216693,47162.937464142284
Malta,2008,,,,,0.0,0.0,,,,,0.0,,,
Malta,2009,,,,,0.0,0.0,,,,,0.0,,,
Malta,2010,,,,,0.0,0.0,,,,,0.0,,,
